"","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District.of.Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New.Hampshire","New.Jersey","New.Mexico","New.York","North.Carolina","North.Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode.Island","South.Carolina","South.Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West.Virginia","Wisconsin","Wyoming"
"Alabama",0,0,0,0,0,0,0,0,0,7.867,4.217,0,0,0,0,0,0,0,0,0,0,0,0,0,3.683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.983,0,0,0,0,0,0,0,0
"Alaska",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arizona",0,0,0,0,12.9,12.883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.017,0,0,9.45,0,0,0,0,0,0,0,0,0,0,0,0,10.083,0,0,0,0,0,0
"Arkansas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.667,0,0,0,0,0,4.95,5.383,0,0,0,0,0,0,0,0,0,0,4.983,0,0,0,0,0,5.867,8.217,0,0,0,0,0,0,0
"California",0,0,12.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.95,0,0,0,0,0,0,0,0,11.3,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colorado",0,0,12.883,0,0,0,0,0,0,0,0,0,0,0,0,0,7.25,0,0,0,0,0,0,0,0,0,0,6.833,0,0,0,6.867,0,0,0,0,10.283,0,0,0,0,0,0,0,7.717,0,0,0,0,0,7.35
"Connecticut",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.217,0,0,0,0,0,0,0,0,0,0,3.767,0,0,0,0,0,0,1.417,0,0,0,0,0,0,0,0,0,0,0
"Delaware",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75,0,0,0,0,0,0,0,0,0,2.05,0,0,0,0,0,0,0,4.367,0,0,0,0,0,0,0,0,0,0,0,0
"District of Columbia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,0,0,0,0
"Florida",7.867,0,0,0,0,0,0,0,0,0,5.417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Georgia",4.217,0,0,0,0,0,0,0,0,5.417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.15,0,0,0,0,0,0,3.45,0,5.55,0,0,0,0,0,0,0,0
"Hawaii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
