i,j,Transport,Transport_july,Transport_May
Alaska,New Mexico,0.128379,0.0514004,0
Alaska,Virginia,0.17004,0.0680807,0
Alaska,Kansas,0.137115,0.054898,0
Alaska,Oklahoma,0.142601,0.0570947,0
Alaska,Rhode Island,0.174561,0.0698906,0
Georgia,Alaska,2.0562699,2.0218101,1.0976599
Georgia,Tennessee,0.124897,0.122803,0.066671
Georgia,West Virginia,0.212693,0.209128,0.113538
Georgia,District of Columbia,0.318337,0.313002,0.169931
Georgia,New Jersey,0.433807,0.426537,0.231571
Georgia,South Dakota,0.556217,0.546895,0.296914
Georgia,Hawaii,2.6166101,2.5727601,1.39677
Georgia,Virginia,0.31088,0.30567,0.165951
Georgia,Kansas,0.452309,0.444729,0.241447
Georgia,Indiana,0.253624,0.249374,0.135387
Georgia,Wyoming,0.911366,0.896092,0.486496
Georgia,Mississippi,0.197296,0.19399,0.105319
Georgia,New York,0.44191,0.434504,0.235896
Georgia,Nevada,1.00889,0.991985,0.538557
Georgia,California,1.1249599,1.10611,0.600515
Georgia,Florida,0.235496,0.231549,0.12571
Georgia,New Hampshire,0.554146,0.544859,0.295809
Georgia,Minnesota,0.530113,0.521229,0.28298
Georgia,Louisiana,0.247196,0.243053,0.131956
Georgia,Oklahoma,0.439744,0.432374,0.23474
Georgia,Oregon,1.2604899,1.23937,0.672864
Georgia,Pennsylvania,0.387537,0.381042,0.206871
Georgia,Arizona,0.917833,0.90245,0.489948
Georgia,Rhode Island,0.525457,0.51665,0.280494
Georgia,Maine,0.597871,0.587851,0.319149
Georgia,Washington,1.26869,1.24743,0.677241
Georgia,Utah,0.919506,0.904096,0.490841
Georgia,Missouri,0.282148,0.27742,0.150614
Connecticut,Alaska,0.304996,0.46929,0.837127
Connecticut,Georgia,0.073634,0.113299,0.202105
Connecticut,Tennessee,0.0726795,0.11183,0.199485
Connecticut,Massachusetts,0.0077656,0.0119488,0.0213145
Connecticut,Vermont,0.0152079,0.0234001,0.0417415
Connecticut,Montana,0.164653,0.253348,0.451927
Connecticut,South Carolina,0.0639157,0.0983457,0.175431
Connecticut,Ohio,0.040479,0.0622841,0.111103
Connecticut,North Carolina,0.0552326,0.0849851,0.151598
Connecticut,West Virginia,0.0453689,0.0698081,0.124525
Connecticut,Kentucky,0.0563329,0.0866782,0.154618
