,FID,STATEFP,STATENS,AFFGEOID,GEOID,STUSPS,NAME,Latitude,Longitude,Centroid_l,Total_Numb,Average_Be,Total_Case,Total_Deat,Area,IB,IB_S,AB_S,TC_S,TDC_S
0,16,1,1779775,0400000US01,1,AL,Alabama,32.7897987,-86.82839969999999,32.7897987,1637,47.7,183890,2866,135767,1637,0.826564,0.434879,0.19693488998069,0.0866988
1,26,2,1785533,0400000US02,2,AK,Alaska,64.217598,-152.220993,64.217598,193,38.3,14438,64,1723340,193,0.9950979999999999,0.227373,0.013314362867588895,0.00018530000000000003
2,34,4,1779777,0400000US04,4,AZ,Arizona,34.2930984,-111.66400149999998,34.2930984,1882,51.7,240820,5875,295233,1882,0.7979689999999999,0.523179,0.2586250241104072,0.17960399999999999
3,46,5,68085,0400000US05,5,AR,Arkansas,34.899700200000005,-92.4393005,34.899700200000005,914,42.8,107680,1833,137730,914,0.910948,0.32671100000000003,0.11435268161909241,0.05480419999999999
4,15,6,1779778,0400000US06,6,CA,California,37.24610139999999,-119.6110001,37.24610139999999,8652,53.8,917224,17398,423970,8652,0.0078198,0.5695359999999999,0.9915857387753864,0.5353829999999999
5,20,8,1779779,0400000US08,8,CO,Colorado,38.998500799999995,-105.54799650000001,38.998500799999995,1363,47.3,98788,2255,269602,1363,0.8585430000000001,0.42604899999999996,0.10471718763206543,0.06783380000000001
6,49,9,1779780,0400000US09,9,CT,Connecticut,41.6203995,-72.7256012,41.6203995,966,61.1,68279,4589,14357,966,0.9048790000000001,0.730684,0.07165721394220871,0.139897
7,39,10,1779781,0400000US10,10,DE,Delaware,38.986999499999996,-75.50039670000001,38.986999499999996,264,70.9,24203,616,6446,264,0.9868110000000001,0.9470200000000001,0.023895851709617506,0.017228599999999997
8,35,11,1702382,0400000US11,11,DC,District of Columbia,38.904701200000005,-77.0162964,38.904701200000005,407,73.3,16837,642,177,407,0.9701209999999999,1.0,0.015913952394678157,0.018031400000000003
9,9,12,294478,0400000US12,12,FL,Florida,28.6284008,-82.49749759999999,28.6284008,6231,59.2,787315,16448,170304,6231,0.290383,0.688742,0.8508145525000054,0.5060520000000001
10,17,13,1705317,0400000US13,13,GA,Georgia,32.6492004,-83.4462967,32.6492004,3123,54.8,365748,7644,153909,3123,0.6531279999999999,0.591612,0.3939987300046162,0.23422300000000001
11,38,15,1779782,0400000US15,15,HI,Hawaii,20.2546997,-156.36300659999998,20.2546997,219,54.0,14896,211,28313,219,0.9920629999999999,0.573951,0.013810657991976923,0.004724
