"i","j","i_name","j_name","from_lat","from_long","to_lat","to_long","dist_km","time_hrs","Speed_SI_units","Speed_kmph","weight","state_intermediate"
5,3,"California","Arizona",37.2461014,-119.6110001,34.2930984,-111.6640015,1149.071616,12.9,24.7431441860465,89.0753190697675,0.553179764936707,0
6,3,"Colorado","Arizona",38.9985008,-105.5479965,34.2930984,-111.6640015,1086.3072,12.8833333333333,23.4218887451488,84.3187994825356,0.123820111630067,1
10,1,"Florida","Alabama",28.6284008,-82.4974976,32.7897987,-86.8283997,729.032832,7.86666666666667,25.7426847457627,92.6736650847458,0.408508931096669,0
11,1,"Georgia","Alabama",32.6492004,-83.4462967,32.7897987,-86.8283997,399.117312,4.21666666666667,26.2923130434783,94.6523269565217,0.236684775052447,0
11,10,"Georgia","Florida",32.6492004,-83.4462967,28.6284008,-82.4974976,535.911552,5.41666666666667,27.4826436923077,98.9375172923077,0.409562744279811,0
15,14,"Indiana","Illinois",39.9081001,-86.2757034,40.0649986,-89.1984024,270.369792,2.76666666666667,27.1455614457831,97.7240212048193,0.335257148174886,0
16,14,"Iowa","Illinois",42.0746002,-93.5000992,40.0649986,-89.1984024,537.520896,5.13333333333333,29.0866285714286,104.711862857143,0.643907776386406,0
17,6,"Kansas","Colorado",38.4846992,-98.3802032,38.9985008,-105.5479965,732.25152,7.25,28.0556137931035,101.000209655172,0.133092651927484,0
18,14,"Kentucky","Illinois",37.5265999,-85.2903976,40.0649986,-89.1984024,582.582528,5.78333333333333,27.981869740634,100.734731066282,0.238414604486603,1
18,15,"Kentucky","Indiana",37.5265999,-85.2903976,39.9081001,-86.2757034,320.259456,3.23333333333333,27.5136989690722,99.0493162886598,0.154429164231423,0
19,4,"Louisiana","Arkansas",31.0583992,-91.9857025,34.8997002,-92.4393005,508.552704,5.66666666666667,24.9290541176471,89.7445948235294,0.169523426368621,0
21,8,"Maryland","Delaware",39.0368996,-76.7724991,38.9869995,-75.5003967,133.7364864,1.75,21.2280137142857,76.4208493714286,0.0608843487676619,1
21,9,"Maryland","District of Columbia",39.0368996,-76.7724991,38.9047012,-77.0162964,31.7040768,0.616666666666667,14.2811156756757,51.4120164324324,0.0616016507599989,0
22,7,"Massachusetts","Connecticut",42.2532997,-71.7985992,41.6203995,-72.7256012,119.2523904,1.21666666666667,27.2265731506849,98.0156633424657,0.0567945844450483,0
23,15,"Michigan","Indiana",44.3507004,-85.4372025,39.9081001,-86.2757034,577.754496,5.43333333333333,29.5375509202454,106.335183312883,0.19045029499772,0
24,16,"Minnesota","Iowa",46.3165016,-94.3089981,42.0746002,-93.5000992,542.348928,5.15,29.2529087378641,105.310471456311,0.438549430209423,0
25,1,"Mississippi","Alabama",32.7509003,-89.6651993,32.7897987,-86.8283997,323.478144,3.68333333333333,24.3950334841629,87.8221205429864,0.178963541481332,0
25,4,"Mississippi","Arkansas",32.7509003,-89.6651993,34.8997002,-92.4393005,457.053696,4.95,25.6483555555556,92.33408,0.152400708842161,0
25,19,"Mississippi","Louisiana",32.7509003,-89.6651993,31.0583992,-91.9857025,362.1024,4.3,23.3916279069767,84.2098604651163,0.169965869898421,0
26,4,"Missouri","Arkansas",38.3675995,-92.4774017,34.8997002,-92.4393005,486.021888,5.38333333333333,25.0785287925697,90.2827036532508,0.163329762463963,0
26,14,"Missouri","Illinois",38.3675995,-92.4774017,40.0649986,-89.1984024,403.945344,4.26666666666667,26.298525,94.67469,0.314762084188491,0
26,16,"Missouri","Iowa",38.3675995,-92.4774017,42.0746002,-93.5000992,524.646144,5.25,27.7590552380952,99.9325988571429,0.455588762010767,0
26,17,"Missouri","Kansas",38.3675995,-92.4774017,38.4846992,-98.3802032,605.113344,5.8,28.980524137931,104.329886896552,0.166868798565528,0
26,18,"Missouri","Kentucky",38.3675995,-92.4774017,37.5265999,-85.2903976,783.750528,7.36666666666667,29.5531873303167,106.39147438914,0.243287834396754,1
27,13,"Montana","Idaho",47.0335007,-109.6449966,44.3890991,-114.6589966,796.62528,8.46666666666667,26.136,94.0896,0.0614317119926897,0
28,6,"Nebraska","Colorado",41.5270996,-99.8107986,38.9985008,-105.5479965,716.15808,6.83333333333333,29.1121170731707,104.803621463415,0.231096269653223,0
28,16,"Nebraska","Iowa",41.5270996,-99.8107986,42.0746002,-93.5000992,630.862848,6.2,28.264464516129,101.752072258065,0.624094436011055,0
28,17,"Nebraska","Kansas",41.5270996,-99.8107986,38.4846992,-98.3802032,432.913536,4.53333333333333,26.5265647058824,95.4956329411765,0.309278641680086,0
28,26,"Nebraska","Missouri",41.5270996,-99.8107986,38.3675995,-92.4774017,872.264448,8.58333333333333,28.2286229126214,101.623042485437,0.314942042192036,0
29,3,"Nevada","Arizona",39.3562012,-116.6549988,34.2930984,-111.6640015,1073.432448,12.0166666666667,24.8135101248266,89.3286364493759,0.13801243681739,0
29,5,"Nevada","California",39.3562012,-116.6549988,37.2461014,-119.6110001,730.642176,8.95,22.6766659217877,81.6359973184358,0.353211440376848,0
29,13,"Nevada","Idaho",39.3562012,-116.6549988,44.3890991,-114.6589966,778.922496,8.35,25.9122586826347,93.284131257485,0.0972447750435051,0
30,20,"New Hampshire","Maine",43.6856003,-71.5775986,45.3713989,-69.2266006,358.883712,4.66666666666667,21.3621257142857,76.9036525714286,0.00385350786401197,0
30,22,"New Hampshire","Massachusetts",43.6856003,-71.5775986,42.2532997,-71.7985992,209.21472,2.08333333333333,27.895296,100.4230656,0.0354702215683045,0
31,8,"New Jersey","Delaware",40.1843987,-74.6607971,38.9869995,-75.5003967,201.168,2.05,27.2585365853659,98.1307317073171,0.065956218313103,0
32,3,"New Mexico","Arizona",34.4213982,-106.1080017,34.2930984,-111.6640015,804.672,9.45,23.6529100529101,85.1504761904762,0.123913214313054,0
32,6,"New Mexico","Colorado",34.4213982,-106.1080017,38.9985008,-105.5479965,616.378752,6.86666666666667,24.9344155339806,89.7638959223301,0.0784493698535588,0
33,7,"New York","Connecticut",42.9403992,-75.5030975,41.6203995,-72.7256012,391.070592,3.76666666666667,28.840014159292,103.824050973451,0.213605813814451,1
33,22,"New York","Massachusetts",42.9403992,-75.5030975,42.2532997,-71.7985992,397.507968,3.85,28.6802285714286,103.248822857143,0.216648180978185,0
33,31,"New York","New Jersey",42.9403992,-75.5030975,40.1843987,-74.6607971,440.960256,4.6,26.6280347826087,95.8609252173913,0.204048879832663,1
34,11,"North Carolina","Georgia",35.5415001,-79.3723984,32.6492004,-83.4462967,572.926464,6.15,25.877437398374,93.1587746341464,0.209779486756034,1
35,24,"North Dakota","Minnesota",47.4463005,-100.4690018,46.3165016,-94.3089981,556.833024,5.5,28.12288,101.242368,0.158355211852787,0
