"","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming"
"Alabama",0,0,0,0,0,0,0,0,0,0.408508931096669,0.236684775052447,0,0,0,0,0,0,0,0,0,0,0,0,0,0.178963541481332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211277905002158,0,0,0,0,0,0,0,0
"Alaska",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arizona",0,0,0,0,0.553179764936707,0.123820111630067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13801243681739,0,0,0.123913214313054,0,0,0,0,0,0,0,0,0,0,0,0,0.182412563594443,0,0,0,0,0,0
"Arkansas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169523426368621,0,0,0,0,0,0.152400708842161,0.163329762463963,0,0,0,0,0,0,0,0,0,0,0.160679955586726,0,0,0,0,0,0.207625162722374,0.761606707437209,0,0,0,0,0,0,0
"California",0,0,0.553179764936707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.353211440376848,0,0,0,0,0,0,0,0,0.548923412434787,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colorado",0,0,0.123820111630067,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133092651927484,0,0,0,0,0,0,0,0,0,0,0.231096269653223,0,0,0,0.0784493698535588,0,0,0,0,0.389452886934116,0,0,0,0,0,0,0,0.12737867999065,0,0,0,0,0,0.0551241738730013
"Connecticut",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0567945844450483,0,0,0,0,0,0,0,0,0,0,0.213605813814451,0,0,0,0,0,0,0.0375016198007605,0,0,0,0,0,0,0,0,0,0,0
"Delaware",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0608843487676619,0,0,0,0,0,0,0,0,0,0.065956218313103,0,0,0,0,0,0,0,0.11927753025022,0,0,0,0,0,0,0,0,0,0,0,0
"District of Columbia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0616016507599989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132854344563143,0,0,0,0
"Florida",0.408508931096669,0,0,0,0,0,0,0,0,0,0.409562744279811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Georgia",0.236684775052447,0,0,0,0,0,0,0,0,0.409562744279811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209779486756034,0,0,0,0,0,0,0.230651643138967,0,0.273817575162872,0,0,0,0,0,0,0,0
"Hawaii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Idaho",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0614317119926897,0,0.0972447750435051,0,0,0,0,0,0,0,0,0.0748844655932775,0,0,0,0,0,0,0.137673520762611,0,0,0.0818649595230552,0,0,0.0684389276788741
"Illinois",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.335257148174886,0.643907776386406,0,0.238414604486603,0,0,0,0,0,0,0,0.314762084188491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.394406453534798,0
"Indiana",0,0,0,0,0,0,0,0,0,0,0,0,0,0.335257148174886,0,0,0,0.154429164231423,0,0,0,0,0.19045029499772,0,0,0,0,0,0,0,0,0,0,0,0,0.186887885870872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Iowa",0,0,0,0,0,0,0,0,0,0,0,0,0,0.643907776386406,0,0,0,0,0,0,0,0,0,0.438549430209423,0,0.455588762010767,0,0.624094436011055,0,0,0,0,0,0,0,0,0,0,0,0,0,0.922846657379595,0,0,0,0,0,0,0,0.453225322098521,0
"Kansas",0,0,0,0,0,0.133092651927484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166868798565528,0,0.309278641680086,0,0,0,0,0,0,0,0,0.164376573385509,0,0,0,0,0,0,0,0,0,0,0,0,0,0
