day,month,statefips,case_count,death_count,new_case_count,new_death_count
27,1,18,0,0,0,0
28,1,18,0,0,0,0
29,1,18,0,0,0,0
30,1,18,0,0,0,0
31,1,18,0,0,0,0
1,2,18,0,0,0,0
2,2,18,0,0,0,0
3,2,18,0,0,0,0
4,2,18,0,0,0,0
5,2,18,0,0,0,0
6,2,18,0,0,0,0
7,2,18,0,0,0,0
8,2,18,0,0,0,0
9,2,18,0,0,0,0
10,2,18,0,0,0,0
11,2,18,0,0,0,0
12,2,18,0,0,0,0
13,2,18,0,0,0,0
14,2,18,0,0,0,0
15,2,18,0,0,0,0
16,2,18,0,0,0,0
17,2,18,0,0,0,0
18,2,18,0,0,0,0
19,2,18,0,0,0,0
20,2,18,0,0,0,0
21,2,18,0,0,0,0
22,2,18,0,0,0,0
23,2,18,0,0,0,0
24,2,18,0,0,0,0
25,2,18,0,0,0,0
26,2,18,0,0,0,0
27,2,18,0,0,0,0
28,2,18,0,0,0,0
29,2,18,0,0,0,0
1,3,18,0,0,0,0
2,3,18,0,0,0,0
3,3,18,0,0,0,0
4,3,18,0,0,0,0
5,3,18,0,0,0,0
6,3,18,1,0,.143,0
7,3,18,1,0,.143,0
8,3,18,2,0,.286,0
9,3,18,4,0,.571,0
10,3,18,6,0,.857,0
11,3,18,11,0,1.57,0
12,3,18,12,0,1.71,0
13,3,18,12,0,1.57,0
14,3,18,15,0,2,0
15,3,18,19,0,2.43,0
16,3,18,24,1,2.86,.143
17,3,18,30,2,3.43,.286
18,3,18,39,2,4,.286
19,3,18,56,2,6.29,.286
20,3,18,81,5,9.86,.714
21,3,18,128,6,16.1,.857
22,3,18,204,9,26.4,1.29
23,3,18,264,12,34.3,1.57
24,3,18,371,17,48.7,2.14
25,3,18,484,19,63.6,2.43
26,3,18,661,23,86.4,3
27,3,18,992,32,130,3.86
28,3,18,1239,38,159,4.57
29,3,18,1522,40,188,4.43
30,3,18,1797,44,219,4.57
31,3,18,2177,61,258,6.29
1,4,18,2578,80,299,8.71
2,4,18,3056,94,342,10.1
3,4,18,3455,118,352,12.3
4,4,18,3975,136,391,14
5,4,18,4437,151,416,15.9
6,4,18,4986,171,456,18.1
7,4,18,5544,208,481,21
8,4,18,5986,246,487,23.7
9,4,18,6400,295,478,28.7
10,4,18,6960,353,501,33.6
11,4,18,7494,389,503,36.1
12,4,18,7990,405,508,36.3
13,4,18,8300,414,473,34.7
14,4,18,8598,458,436,35.7
15,4,18,9030,511,435,37.9
16,4,18,9619,554,460,37
17,4,18,10235,599,468,35.1
18,4,18,10730,633,462,34.9
19,4,18,11301,652,473,35.3
20,4,18,11784,666,498,36
21,4,18,12214,731,517,39
22,4,18,12575,764,506,36.1
23,4,18,13196,811,511,36.7
24,4,18,13848,851,516,36
25,4,18,14567,897,548,37.7
26,4,18,15187,928,555,39.4
27,4,18,16137,932,622,38
28,4,18,16783,992,653,37.3
29,4,18,17409,1065,691,43
30,4,18,18099,1114,700,43.3
1,5,18,18941,1175,728,46.3
2,5,18,19629,1229,723,47.4
3,5,18,20267,1246,726,45.4
4,5,18,20855,1264,674,47.4
5,5,18,21423,1326,663,47.7
6,5,18,22286,1377,697,44.6
7,5,18,22942,1414,692,42.9
8,5,18,23620,1447,668,38.9
9,5,18,24239,1490,659,37.3
10,5,18,24633,1508,624,37.4
11,5,18,25134,1540,611,39.4
12,5,18,25676,1578,608,36
13,5,18,26044,1619,537,34.6
14,5,18,26627,1646,526,33.1
15,5,18,27281,1691,523,34.9
16,5,18,27919,1741,526,35.9
17,5,18,28419,1751,541,34.7
18,5,18,28897,1765,538,32.1
19,5,18,29402,1824,532,35.1
20,5,18,29986,1864,563,35
21,5,18,30673,1913,578,38.1
22,5,18,31165,1941,555,35.7
23,5,18,31674,1964,536,31.9
24,5,18,32151,1976,533,32.1
25,5,18,32489,1984,513,31.3
26,5,18,32856,2004,493,25.7
27,5,18,33242,2030,465,23.7
28,5,18,33885,2068,459,22.1
29,5,18,34399,2110,462,24.1
30,5,18,35064,2125,484,23
31,5,18,35429,2134,468,22.6
1,6,18,35684,2142,456,22.6
2,6,18,36129,2197,468,27.6
3,6,18,36609,2207,481,25.3
4,6,18,37005,2231,446,23.3
5,6,18,37499,2258,443,21.1
6,6,18,37928,2292,409,23.9
7,6,18,38328,2303,414,24.1
8,6,18,38553,2316,410,24.9
9,6,18,38985,2339,408,20.3
10,6,18,39297,2355,384,21.1
11,6,18,39714,2380,387,21.3
12,6,18,40114,2396,374,19.7
13,6,18,40535,2413,372,17.3
14,6,18,40901,2422,368,17
15,6,18,41422,2433,410,16.7
16,6,18,41780,2447,399,15.4
17,6,18,42036,2475,391,17.1
18,6,18,42480,2491,395,15.9
19,6,18,42801,2516,384,17.1
20,6,18,43135,2536,371,17.6
21,6,18,43496,2540,371,16.9
22,6,18,43709,2553,327,17.1
23,6,18,43967,2569,312,17.4
24,6,18,44260,2578,318,14.7
25,6,18,44779,2586,328,13.6
26,6,18,45269,2595,353,11.3
27,6,18,45707,2616,367,11.4
28,6,18,46071,2619,368,11.3
29,6,18,46370,2624,380,10.1
30,6,18,46740,2640,396,10.1
1,7,18,47116,2650,408,10.3
2,7,18,47553,2662,396,10.9
3,7,18,48099,2682,404,12.4
4,7,18,48628,2687,417,10.1
5,7,18,49203,2693,447,10.6
6,7,18,49560,2698,456,10.6
7,7,18,49859,2717,446,11
8,7,18,50309,2732,456,11.7
9,7,18,50829,2739,468,11
10,7,18,51567,2748,495,9.43
11,7,18,52358,2756,533,9.86
12,7,18,52892,2760,527,9.57
13,7,18,53327,2762,538,9.14
14,7,18,54001,2775,592,8.29
15,7,18,54698,2785,627,7.57
16,7,18,55413,2795,655,8
17,7,18,56160,2803,656,7.86
18,7,18,57045,2820,670,9.14
19,7,18,57965,2822,725,8.86
20,7,18,58607,2825,754,9
21,7,18,59344,2846,763,10.1
22,7,18,60126,2863,775,11.1
23,7,18,61079,2880,809,12.1
24,7,18,62081,2884,846,11.6
25,7,18,63030,2895,855,10.7
26,7,18,63881,2903,845,11.6
27,7,18,64417,2906,830,11.6
28,7,18,65258,2924,845,11.1
29,7,18,65918,2932,827,9.86
30,7,18,66883,2946,829,9.43
31,7,18,67800,2965,817,11.6
1,8,18,68773,2971,820,10.9
2,8,18,69531,2975,807,10.3
3,8,18,70111,2980,813,10.6
4,8,18,70944,2996,812,10.3
5,8,18,71685,3007,824,10.7
6,8,18,72741,3013,837,9.57
7,8,18,73986,3023,884,8.29
8,8,18,75025,3036,893,9.29
9,8,18,76071,3041,934,9.43
10,8,18,76734,3044,946,9.14
11,8,18,77625,3069,954,10.4
12,8,18,78337,3086,950,11.3
13,8,18,79404,3105,952,13.1
14,8,18,80507,3113,932,12.9
15,8,18,81561,3128,934,13.1
16,8,18,82304,3133,890,13.1
17,8,18,82909,3135,882,13
18,8,18,83799,3165,882,13.7
19,8,18,84308,3180,853,13.4
20,8,18,85257,3191,836,12.3
21,8,18,86312,3208,829,13.6
22,8,18,87325,3218,823,12.9
23,8,18,87942,3220,805,12.4
24,8,18,89602,3225,956,12.9
25,8,18,90460,3241,952,10.9
26,8,18,91403,3259,1014,11.3
27,8,18,92566,3266,1044,10.7
28,8,18,93387,3277,1011,9.86
29,8,18,94512,3285,1027,9.57
30,8,18,95394,3291,1065,10.1
31,8,18,96277,3296,954,10.1
1,9,18,96988,3312,933,10.1
2,9,18,97853,3325,921,9.43
3,9,18,98971,3332,915,9.43
4,9,18,100011,3350,946,10.4
5,9,18,101094,3362,940,11
6,9,18,101937,3364,935,10.4
7,9,18,102527,3368,893,10.3
8,9,18,102917,3380,847,9.71
9,9,18,103641,3397,827,10.3
10,9,18,104429,3410,780,11.1
11,9,18,105703,3420,813,10
12,9,18,106777,3437,812,10.7
13,9,18,108020,3438,869,10.6
14,9,18,108755,3439,890,10.1
15,9,18,109445,3460,933,11.4
16,9,18,110025,3472,912,10.7
17,9,18,110863,3478,919,9.71
18,9,18,111900,3495,885,10.7
19,9,18,112982,3503,886,9.43
20,9,18,113728,3506,815,9.71
21,9,18,114251,3512,785,10.4
22,9,18,114864,3520,774,8.57
23,9,18,115578,3530,793,8.29
24,9,18,116481,3548,803,10
25,9,18,117656,3566,822,10.1
26,9,18,118819,3577,834,10.6
27,9,18,119721,3580,856,10.6
28,9,18,120581,3591,904,11.3
29,9,18,121327,3612,923,13.1
30,9,18,122295,3632,960,14.6
1,10,18,123459,3645,997,13.9
2,10,18,124959,3656,1043,12.9
3,10,18,126414,3669,1085,13.1
4,10,18,127501,3674,1111,13.4
5,10,18,128285,3681,1101,12.9
6,10,18,129281,3711,1136,14.1
7,10,18,130569,3727,1182,13.6
8,10,18,132030,3742,1224,13.9
9,10,18,133864,3761,1272,15
10,10,18,135789,3782,1339,16.1
11,10,18,137359,3789,1408,16.4
12,10,18,138933,3795,1521,16.3
13,10,18,140505,3822,1603,15.9
14,10,18,141670,3836,1586,15.6
15,10,18,143617,3864,1655,17.4
16,10,18,145915,3887,1722,18
17,10,18,148400,3918,1802,19.4
18,10,18,150005,3937,1807,21.1
19,10,18,151588,3960,1808,23.6
20,10,18,153088,4008,1798,26.6
21,10,18,154822,4023,1879,26.7
22,10,18,157678,4065,2009,28.7
23,10,18,160145,4092,2033,29.3
24,10,18,162886,4118,2069,28.6
25,10,18,165038,4130,2148,27.6
26,10,18,167010,4143,2203,26.1
27,10,18,.,.,.,.
